                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.01406,                0.03369,                0.22707,                0.89892,                0.81889,                0.80257,                0.86841,                0.78078,                0.81628,                0.80007,                0.86328,                0.71445,                0.01306,                0.02236,                0.35055,                 0.9282,               0.084923,              0.0047228,              0.0047228
                      1,                0.01384,                0.02382,                0.21651,                 0.8966,                0.80758,                0.80526,                0.87013,                0.78684,                0.80457,                0.80206,                0.86656,                0.70191,                0.01309,                 0.0216,                0.34941,                0.92849,               0.069686,              0.0094861,              0.0094861
                      2,                0.01404,                0.02326,                0.21798,                0.89162,                0.77292,                0.83628,                0.86288,                0.77405,                0.77062,                0.83378,                0.85734,                0.68012,                0.01326,                0.02139,                0.35742,                0.93464,               0.054442,               0.014242,               0.014242
                      3,                0.01431,                0.02282,                0.22531,                0.90005,                0.80698,                0.81223,                0.85519,                0.76462,                0.80496,                0.81022,                0.85017,                0.68312,                0.01376,                0.02076,                0.37856,                0.94052,               0.039191,               0.018991,               0.018991
                      4,                0.01567,                0.02362,                0.25831,                0.90967,                0.79127,                0.80863,                0.85749,                0.75525,                0.78888,                0.80612,                0.85273,                0.67646,                0.01471,                0.02125,                0.38381,                0.94985,               0.023932,               0.023732,               0.023732
                      5,                0.01534,                  0.024,                0.26044,                0.90441,                0.78027,                0.83159,                0.86128,                 0.7381,                0.77126,                0.82417,                0.85112,                0.65993,                0.01626,                 0.0232,                 0.3813,                0.98061,               0.023762,               0.023762,               0.023762
                      6,                0.01536,                0.02375,                 0.2786,                0.91629,                0.79827,                0.82637,                 0.8538,                0.74902,                0.79523,                0.82144,                0.84837,                0.67265,                0.01523,                0.02222,                0.38285,                0.96632,               0.023762,               0.023762,               0.023762
                      7,                 0.0155,                0.02345,                0.27085,                  0.912,                 0.8017,                0.80181,                0.85243,                0.74907,                 0.8196,                 0.7789,                0.84487,                0.66745,                0.01439,                0.02243,                0.37467,                0.95445,               0.023744,               0.023744,               0.023744
                      8,                0.01567,                 0.0241,                0.27155,                0.91506,                0.76831,                0.83359,                 0.8668,                0.76255,                0.76515,                0.83008,                0.86258,                0.67634,                0.01453,                0.02238,                0.35822,                0.95814,               0.023725,               0.023725,               0.023725
                      9,                0.01493,                0.02545,                0.26585,                0.91236,                0.79685,                0.79665,                0.83945,                0.73405,                0.79558,                0.79505,                0.83565,                0.64967,                0.01445,                0.02284,                0.43154,                0.94829,               0.023707,               0.023707,               0.023707
                     10,                0.01513,                0.02391,                0.26415,                0.91417,                0.76387,                0.80045,                0.84292,                0.73115,                0.75929,                0.79418,                0.83531,                0.64519,                0.01487,                0.02283,                0.38343,                0.96409,               0.023689,               0.023689,               0.023689
                     11,                0.01555,                  0.025,                0.27089,                0.92002,                0.78542,                0.79418,                0.84964,                0.75171,                0.78301,                 0.7921,                0.84431,                0.66858,                 0.0143,                0.02306,                0.38179,                0.96414,               0.023671,               0.023671,               0.023671
                     12,                0.01546,                0.02441,                0.27277,                0.91612,                0.80342,                0.79004,                0.85435,                0.75625,                0.80089,                0.78753,                0.84874,                0.66476,                0.01414,                0.02263,                0.37223,                0.96318,               0.023653,               0.023653,               0.023653
                     13,                0.01545,                0.02512,                 0.2693,                0.91837,                0.78253,                0.81592,                0.85261,                0.75218,                0.78115,                0.81031,                0.84834,                0.65199,                0.01408,                0.02232,                0.37689,                0.96443,               0.023635,               0.023635,               0.023635
                     14,                0.01493,                0.02418,                0.27541,                 0.9172,                0.81478,                0.75576,                0.85604,                0.75841,                0.81262,                0.75375,                0.85295,                0.67674,                0.01384,                0.02182,                0.38329,                0.95028,               0.023616,               0.023616,               0.023616
                     15,                0.01582,                0.02445,                0.27087,                0.91731,                0.79346,                0.77054,                 0.8402,                0.74364,                0.79204,                0.76543,                0.83483,                 0.6636,                0.01417,                0.02307,                0.38834,                0.95047,               0.023598,               0.023598,               0.023598
                     16,                0.01552,                0.02431,                0.26939,                0.91626,                0.78254,                0.79717,                0.85471,                 0.7534,                0.80862,                0.76825,                0.84944,                0.66863,                0.01458,                0.02318,                0.37571,                0.96098,                0.02358,                0.02358,                0.02358
                     17,                0.01529,                0.02527,                0.27095,                0.91352,                 0.7903,                0.79838,                0.85655,                0.75837,                0.78628,                0.79445,                 0.8516,                0.67806,                0.01434,                0.02271,                0.38443,                0.95338,               0.023562,               0.023562,               0.023562
                     18,                0.01565,                0.02405,                0.26531,                0.91582,                0.75929,                0.83202,                0.85001,                0.75068,                0.75609,                0.82864,                0.84442,                0.67436,                 0.0142,                0.02398,                0.37223,                0.95032,               0.023544,               0.023544,               0.023544
                     19,                0.01533,                0.02481,                0.26252,                0.91427,                0.81355,                0.81639,                0.85031,                0.74844,                0.81249,                0.81539,                0.84831,                0.67394,                0.01498,                0.02216,                0.38077,                0.96015,               0.023526,               0.023526,               0.023526
                     20,                0.01571,                0.02458,                0.27871,                 0.9195,                0.78413,                0.82635,                0.85055,                0.74896,                0.78156,                0.82397,                0.84719,                0.66221,                 0.0142,                0.02263,                0.38846,                0.95281,               0.023508,               0.023508,               0.023508
                     21,                0.01536,                0.02437,                0.27335,                 0.9197,                0.80409,                0.81322,                0.86241,                0.76615,                 0.7998,                0.80896,                0.85771,                0.67804,                0.01441,                0.02172,                0.35219,                0.95736,               0.023489,               0.023489,               0.023489
                     22,                0.01532,                0.02399,                0.26948,                0.91535,                0.79799,                0.82654,                0.86367,                0.76514,                  0.795,                0.82409,                 0.8595,                0.67712,                0.01414,                0.02155,                0.35148,                0.95046,               0.023471,               0.023471,               0.023471
                     23,                0.01524,                0.02468,                0.26292,                0.91925,                0.77992,                0.81082,                 0.8494,                0.74603,                0.77981,                0.80748,                 0.8442,                0.66759,                0.01468,                0.02253,                0.38283,                0.94472,               0.023453,               0.023453,               0.023453
                     24,                0.01584,                0.02397,                0.27422,                0.91719,                0.80174,                0.80179,                0.86053,                0.75983,                0.79925,                0.79936,                0.85649,                0.67711,                0.01435,                0.02258,                0.36019,                0.96036,               0.023435,               0.023435,               0.023435
                     25,                0.01545,                0.02412,                0.26931,                0.91961,                0.79544,                0.77756,                0.83986,                0.74431,                0.77758,                0.79803,                0.83678,                0.65873,                 0.0142,                0.02276,                 0.3878,                0.95492,               0.023417,               0.023417,               0.023417
                     26,                0.01557,                0.02423,                0.26499,                0.91775,                0.79247,                0.79418,                 0.8466,                0.74588,                0.77678,                0.80846,                0.84485,                0.65825,                 0.0141,                0.02162,                 0.3691,                0.94583,               0.023399,               0.023399,               0.023399
                     27,                0.01544,                0.02434,                0.26947,                0.91707,                0.79914,                0.77414,                0.84669,                0.74389,                0.77731,                0.78618,                0.84183,                0.65814,                0.01405,                0.02135,                0.40369,                0.94926,               0.023381,               0.023381,               0.023381
                     28,                 0.0155,                0.02409,                0.27657,                0.91629,                0.78487,                 0.8041,                0.85044,                0.75789,                0.77873,                0.79734,                0.84483,                 0.6614,                0.01418,                0.02305,                0.36724,                0.95613,               0.023362,               0.023362,               0.023362
                     29,                0.01529,                0.02422,                0.26388,                0.91149,                0.77562,                0.80926,                 0.8491,                0.74969,                0.78061,                0.79464,                 0.8436,                0.66976,                0.01444,                 0.0223,                0.41648,                0.95615,               0.023344,               0.023344,               0.023344
                     30,                0.01529,                0.02451,                0.26638,                0.91165,                0.79949,                0.78459,                0.85079,                0.74836,                0.79888,                0.78364,                0.84742,                0.66195,                0.01449,                0.02258,                0.38502,                0.96109,               0.023326,               0.023326,               0.023326
                     31,                0.01531,                0.02438,                0.26534,                0.91118,                0.76602,                0.82285,                0.84189,                0.73562,                0.76262,                0.81985,                0.83732,                0.66175,                0.01516,                0.02343,                0.38059,                0.96199,               0.023308,               0.023308,               0.023308
                     32,                0.01539,                0.02386,                0.26623,                0.91762,                0.80507,                0.79427,                0.83669,                0.74134,                0.80295,                0.79226,                0.83387,                0.66013,                0.01393,                0.02223,                0.38042,                0.94242,                0.02329,                0.02329,                0.02329
                     33,                0.01486,                 0.0235,                0.25579,                0.90961,                0.80309,                0.78072,                0.85171,                0.74728,                0.80002,                0.77771,                0.84561,                0.66348,                0.01421,                0.02305,                0.36719,                0.95297,               0.023272,               0.023272,               0.023272
                     34,                0.01529,                0.02449,                0.26685,                0.91247,                0.81701,                0.79696,                0.86502,                0.75799,                0.81241,                0.79295,                0.85945,                0.66865,                0.01474,                0.02352,                0.36809,                 0.9691,               0.023253,               0.023253,               0.023253
                     35,                0.01533,                0.02404,                0.26856,                0.91143,                 0.7923,                0.79882,                0.84827,                0.75253,                0.78869,                0.79531,                0.84351,                0.67166,                0.01425,                0.02291,                0.39907,                0.95238,               0.023235,               0.023235,               0.023235
                     36,                0.01578,                0.02394,                0.27293,                0.91556,                0.79645,                0.80434,                0.84416,                0.74916,                0.78546,                0.81711,                0.84053,                0.66133,                0.01412,                0.02136,                0.38551,                0.94184,               0.023217,               0.023217,               0.023217
                     37,                0.01527,                0.02378,                0.25523,                0.90934,                0.77628,                0.81891,                0.84747,                0.74911,                0.77195,                0.81217,                0.83981,                0.66664,                0.01432,                0.02295,                0.37326,                0.95619,               0.023199,               0.023199,               0.023199
                     38,                0.01518,                0.02323,                0.25769,                 0.9104,                0.79049,                0.81336,                 0.8436,                0.74052,                0.78972,                0.80805,                0.83774,                0.66485,                0.01483,                0.02447,                0.38812,                0.96228,               0.023181,               0.023181,               0.023181
                     39,                 0.0153,                0.02423,                 0.2721,                0.91217,                0.78927,                0.82293,                0.85556,                0.76061,                0.78433,                0.81882,                0.85065,                0.67086,                0.01405,                0.02295,                0.37187,                0.95461,               0.023163,               0.023163,               0.023163
                     40,                0.01496,                0.02505,                0.26681,                0.91659,                0.81179,                0.80082,                0.85115,                0.73759,                0.80347,                0.79945,                0.84449,                0.65834,                0.01542,                 0.0241,                0.36914,                0.97756,               0.023145,               0.023145,               0.023145
                     41,                0.01518,                0.02345,                0.26526,                0.91033,                0.77604,                  0.802,                0.84495,                0.74572,                0.77457,                0.80049,                0.84234,                0.65933,                0.01436,                0.02279,                0.40584,                0.96032,               0.023126,               0.023126,               0.023126
                     42,                0.01495,                0.02401,                0.26293,                0.91069,                0.79168,                 0.7985,                0.83794,                0.74022,                 0.7889,                0.79604,                0.83261,                0.65916,                0.01448,                0.02373,                0.39995,                0.97214,               0.023108,               0.023108,               0.023108
                     43,                0.01499,                0.02365,                0.25581,                0.91008,                0.78185,                0.80455,                0.85059,                0.74902,                0.77666,                0.79945,                0.84551,                0.65692,                0.01449,                0.02176,                0.37812,                0.95814,                0.02309,                0.02309,                0.02309
